2022-04-20 05:08:42 startup archives unpack
2022-04-20 05:08:42 install netbase:all <none> 5.6
2022-04-20 05:08:42 status half-installed netbase:all 5.6
2022-04-20 05:08:42 status unpacked netbase:all 5.6
2022-04-20 05:08:42 install libssl1.1:amd64 <none> 1.1.1n-0+deb10u1
2022-04-20 05:08:42 status triggers-pending libc-bin:amd64 2.28-10+deb10u1
2022-04-20 05:08:42 status half-installed libssl1.1:amd64 1.1.1n-0+deb10u1
2022-04-20 05:08:42 status unpacked libssl1.1:amd64 1.1.1n-0+deb10u1
2022-04-20 05:08:42 install openssl:amd64 <none> 1.1.1n-0+deb10u1
2022-04-20 05:08:42 status half-installed openssl:amd64 1.1.1n-0+deb10u1
2022-04-20 05:08:42 status unpacked openssl:amd64 1.1.1n-0+deb10u1
2022-04-20 05:08:42 install ca-certificates:all <none> 20200601~deb10u2
2022-04-20 05:08:42 status half-installed ca-certificates:all 20200601~deb10u2
2022-04-20 05:08:42 status unpacked ca-certificates:all 20200601~deb10u2
2022-04-20 05:08:42 startup packages configure
2022-04-20 05:08:42 configure libssl1.1:amd64 1.1.1n-0+deb10u1 <none>
2022-04-20 05:08:42 status unpacked libssl1.1:amd64 1.1.1n-0+deb10u1
2022-04-20 05:08:42 status half-configured libssl1.1:amd64 1.1.1n-0+deb10u1
2022-04-20 05:08:42 status installed libssl1.1:amd64 1.1.1n-0+deb10u1
2022-04-20 05:08:42 configure netbase:all 5.6 <none>
2022-04-20 05:08:42 status unpacked netbase:all 5.6
2022-04-20 05:08:42 status half-configured netbase:all 5.6
2022-04-20 05:08:42 status installed netbase:all 5.6
2022-04-20 05:08:42 configure openssl:amd64 1.1.1n-0+deb10u1 <none>
2022-04-20 05:08:42 status unpacked openssl:amd64 1.1.1n-0+deb10u1
2022-04-20 05:08:42 status half-configured openssl:amd64 1.1.1n-0+deb10u1
2022-04-20 05:08:42 status installed openssl:amd64 1.1.1n-0+deb10u1
2022-04-20 05:08:42 configure ca-certificates:all 20200601~deb10u2 <none>
2022-04-20 05:08:42 status unpacked ca-certificates:all 20200601~deb10u2
2022-04-20 05:08:42 status half-configured ca-certificates:all 20200601~deb10u2
2022-04-20 05:08:43 status installed ca-certificates:all 20200601~deb10u2
2022-04-20 05:08:43 status triggers-pending ca-certificates:all 20200601~deb10u2
2022-04-20 05:08:43 trigproc libc-bin:amd64 2.28-10+deb10u1 <none>
2022-04-20 05:08:43 status half-configured libc-bin:amd64 2.28-10+deb10u1
2022-04-20 05:08:43 status installed libc-bin:amd64 2.28-10+deb10u1
2022-04-20 05:08:43 trigproc ca-certificates:all 20200601~deb10u2 <none>
2022-04-20 05:08:43 status half-configured ca-certificates:all 20200601~deb10u2
2022-04-20 05:08:44 status installed ca-certificates:all 20200601~deb10u2
2022-04-20 05:52:18 startup archives unpack
2022-04-20 05:52:18 install perl-modules-5.28:all <none> 5.28.1-6+deb10u1
2022-04-20 05:52:18 status half-installed perl-modules-5.28:all 5.28.1-6+deb10u1
2022-04-20 05:52:19 status unpacked perl-modules-5.28:all 5.28.1-6+deb10u1
2022-04-20 05:52:19 install libgdbm6:amd64 <none> 1.18.1-4
2022-04-20 05:52:19 status triggers-pending libc-bin:amd64 2.28-10+deb10u1
2022-04-20 05:52:19 status half-installed libgdbm6:amd64 1.18.1-4
2022-04-20 05:52:19 status unpacked libgdbm6:amd64 1.18.1-4
2022-04-20 05:52:19 install libgdbm-compat4:amd64 <none> 1.18.1-4
2022-04-20 05:52:19 status half-installed libgdbm-compat4:amd64 1.18.1-4
2022-04-20 05:52:19 status unpacked libgdbm-compat4:amd64 1.18.1-4
2022-04-20 05:52:19 install libperl5.28:amd64 <none> 5.28.1-6+deb10u1
2022-04-20 05:52:19 status half-installed libperl5.28:amd64 5.28.1-6+deb10u1
2022-04-20 05:52:19 status unpacked libperl5.28:amd64 5.28.1-6+deb10u1
2022-04-20 05:52:19 install perl:amd64 <none> 5.28.1-6+deb10u1
2022-04-20 05:52:19 status half-installed perl:amd64 5.28.1-6+deb10u1
2022-04-20 05:52:19 status unpacked perl:amd64 5.28.1-6+deb10u1
2022-04-20 05:52:19 upgrade liblzma5:amd64 5.2.4-1 5.2.4-1+deb10u1
2022-04-20 05:52:19 status half-configured liblzma5:amd64 5.2.4-1
2022-04-20 05:52:19 status unpacked liblzma5:amd64 5.2.4-1
2022-04-20 05:52:19 status half-installed liblzma5:amd64 5.2.4-1
2022-04-20 05:52:19 status unpacked liblzma5:amd64 5.2.4-1+deb10u1
2022-04-20 05:52:19 startup packages configure
2022-04-20 05:52:19 configure liblzma5:amd64 5.2.4-1+deb10u1 <none>
2022-04-20 05:52:19 status unpacked liblzma5:amd64 5.2.4-1+deb10u1
2022-04-20 05:52:19 status half-configured liblzma5:amd64 5.2.4-1+deb10u1
2022-04-20 05:52:19 status installed liblzma5:amd64 5.2.4-1+deb10u1
2022-04-20 05:52:19 startup archives unpack
2022-04-20 05:52:19 install readline-common:all <none> 7.0-5
2022-04-20 05:52:19 status half-installed readline-common:all 7.0-5
2022-04-20 05:52:19 status unpacked readline-common:all 7.0-5
2022-04-20 05:52:19 install sensible-utils:all <none> 0.0.12
2022-04-20 05:52:19 status half-installed sensible-utils:all 0.0.12
2022-04-20 05:52:19 status unpacked sensible-utils:all 0.0.12
2022-04-20 05:52:19 install bzip2:amd64 <none> 1.0.6-9.2~deb10u1
2022-04-20 05:52:19 status half-installed bzip2:amd64 1.0.6-9.2~deb10u1
2022-04-20 05:52:19 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2022-04-20 05:52:19 install ucf:all <none> 3.0038+nmu1
2022-04-20 05:52:19 status half-installed ucf:all 3.0038+nmu1
2022-04-20 05:52:19 status unpacked ucf:all 3.0038+nmu1
2022-04-20 05:52:19 install libpcre2-8-0:amd64 <none> 10.32-5
2022-04-20 05:52:19 status half-installed libpcre2-8-0:amd64 10.32-5
2022-04-20 05:52:19 status unpacked libpcre2-8-0:amd64 10.32-5
2022-04-20 05:52:20 install libpsl5:amd64 <none> 0.20.2-2
2022-04-20 05:52:20 status half-installed libpsl5:amd64 0.20.2-2
2022-04-20 05:52:20 status unpacked libpsl5:amd64 0.20.2-2
2022-04-20 05:52:20 install wget:amd64 <none> 1.20.1-1.1
2022-04-20 05:52:20 status half-installed wget:amd64 1.20.1-1.1
2022-04-20 05:52:20 status unpacked wget:amd64 1.20.1-1.1
2022-04-20 05:52:20 install xz-utils:amd64 <none> 5.2.4-1+deb10u1
2022-04-20 05:52:20 status half-installed xz-utils:amd64 5.2.4-1+deb10u1
2022-04-20 05:52:20 status unpacked xz-utils:amd64 5.2.4-1+deb10u1
2022-04-20 05:52:20 install binutils-common:amd64 <none> 2.31.1-16
2022-04-20 05:52:20 status half-installed binutils-common:amd64 2.31.1-16
2022-04-20 05:52:20 status unpacked binutils-common:amd64 2.31.1-16
2022-04-20 05:52:20 install libbinutils:amd64 <none> 2.31.1-16
2022-04-20 05:52:20 status half-installed libbinutils:amd64 2.31.1-16
2022-04-20 05:52:20 status unpacked libbinutils:amd64 2.31.1-16
2022-04-20 05:52:20 install binutils-x86-64-linux-gnu:amd64 <none> 2.31.1-16
2022-04-20 05:52:20 status half-installed binutils-x86-64-linux-gnu:amd64 2.31.1-16
2022-04-20 05:52:20 status unpacked binutils-x86-64-linux-gnu:amd64 2.31.1-16
2022-04-20 05:52:20 install binutils:amd64 <none> 2.31.1-16
2022-04-20 05:52:20 status half-installed binutils:amd64 2.31.1-16
2022-04-20 05:52:20 status unpacked binutils:amd64 2.31.1-16
2022-04-20 05:52:20 install libisl19:amd64 <none> 0.20-2
2022-04-20 05:52:20 status half-installed libisl19:amd64 0.20-2
2022-04-20 05:52:20 status unpacked libisl19:amd64 0.20-2
2022-04-20 05:52:20 install libmpfr6:amd64 <none> 4.0.2-1
2022-04-20 05:52:20 status half-installed libmpfr6:amd64 4.0.2-1
2022-04-20 05:52:20 status unpacked libmpfr6:amd64 4.0.2-1
2022-04-20 05:52:20 install libmpc3:amd64 <none> 1.1.0-1
2022-04-20 05:52:20 status half-installed libmpc3:amd64 1.1.0-1
2022-04-20 05:52:20 status unpacked libmpc3:amd64 1.1.0-1
2022-04-20 05:52:20 install cpp-8:amd64 <none> 8.3.0-6
2022-04-20 05:52:20 status half-installed cpp-8:amd64 8.3.0-6
2022-04-20 05:52:21 status unpacked cpp-8:amd64 8.3.0-6
2022-04-20 05:52:21 install cpp:amd64 <none> 4:8.3.0-1
2022-04-20 05:52:21 status half-installed cpp:amd64 4:8.3.0-1
2022-04-20 05:52:21 status unpacked cpp:amd64 4:8.3.0-1
2022-04-20 05:52:21 install libassuan0:amd64 <none> 2.5.2-1
2022-04-20 05:52:21 status half-installed libassuan0:amd64 2.5.2-1
2022-04-20 05:52:21 status unpacked libassuan0:amd64 2.5.2-1
2022-04-20 05:52:21 install libreadline7:amd64 <none> 7.0-5
2022-04-20 05:52:21 status half-installed libreadline7:amd64 7.0-5
2022-04-20 05:52:21 status unpacked libreadline7:amd64 7.0-5
2022-04-20 05:52:21 install gpgconf:amd64 <none> 2.2.12-1+deb10u1
2022-04-20 05:52:21 status half-installed gpgconf:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:21 status unpacked gpgconf:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:21 install lsb-base:all <none> 10.2019051400
2022-04-20 05:52:21 status half-installed lsb-base:all 10.2019051400
2022-04-20 05:52:21 status unpacked lsb-base:all 10.2019051400
2022-04-20 05:52:21 install libksba8:amd64 <none> 1.3.5-2
2022-04-20 05:52:21 status half-installed libksba8:amd64 1.3.5-2
2022-04-20 05:52:21 status unpacked libksba8:amd64 1.3.5-2
2022-04-20 05:52:21 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-1+deb10u2
2022-04-20 05:52:21 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2022-04-20 05:52:21 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2022-04-20 05:52:21 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1+deb10u2
2022-04-20 05:52:21 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2022-04-20 05:52:21 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2022-04-20 05:52:22 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u6
2022-04-20 05:52:22 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u6
2022-04-20 05:52:22 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u6
2022-04-20 05:52:22 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u6
2022-04-20 05:52:22 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6
2022-04-20 05:52:22 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6
2022-04-20 05:52:22 install libnpth0:amd64 <none> 1.6-1
2022-04-20 05:52:22 status half-installed libnpth0:amd64 1.6-1
2022-04-20 05:52:22 status unpacked libnpth0:amd64 1.6-1
2022-04-20 05:52:22 install dirmngr:amd64 <none> 2.2.12-1+deb10u1
2022-04-20 05:52:22 status half-installed dirmngr:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:22 status unpacked dirmngr:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:22 install libdpkg-perl:all <none> 1.19.7
2022-04-20 05:52:22 status half-installed libdpkg-perl:all 1.19.7
2022-04-20 05:52:22 status unpacked libdpkg-perl:all 1.19.7
2022-04-20 05:52:22 install patch:amd64 <none> 2.7.6-3+deb10u1
2022-04-20 05:52:22 status half-installed patch:amd64 2.7.6-3+deb10u1
2022-04-20 05:52:22 status unpacked patch:amd64 2.7.6-3+deb10u1
2022-04-20 05:52:22 install make:amd64 <none> 4.2.1-1.2
2022-04-20 05:52:22 status half-installed make:amd64 4.2.1-1.2
2022-04-20 05:52:22 status unpacked make:amd64 4.2.1-1.2
2022-04-20 05:52:22 install dpkg-dev:all <none> 1.19.7
2022-04-20 05:52:22 status half-installed dpkg-dev:all 1.19.7
2022-04-20 05:52:22 status unpacked dpkg-dev:all 1.19.7
2022-04-20 05:52:22 install fonts-dejavu-core:all <none> 2.37-1
2022-04-20 05:52:22 status half-installed fonts-dejavu-core:all 2.37-1
2022-04-20 05:52:22 status unpacked fonts-dejavu-core:all 2.37-1
2022-04-20 05:52:22 install fontconfig-config:all <none> 2.13.1-2
2022-04-20 05:52:22 status half-installed fontconfig-config:all 2.13.1-2
2022-04-20 05:52:22 status unpacked fontconfig-config:all 2.13.1-2
2022-04-20 05:52:22 install libcc1-0:amd64 <none> 8.3.0-6
2022-04-20 05:52:22 status half-installed libcc1-0:amd64 8.3.0-6
2022-04-20 05:52:22 status unpacked libcc1-0:amd64 8.3.0-6
2022-04-20 05:52:22 install libgomp1:amd64 <none> 8.3.0-6
2022-04-20 05:52:22 status half-installed libgomp1:amd64 8.3.0-6
2022-04-20 05:52:22 status unpacked libgomp1:amd64 8.3.0-6
2022-04-20 05:52:22 install libitm1:amd64 <none> 8.3.0-6
2022-04-20 05:52:22 status half-installed libitm1:amd64 8.3.0-6
2022-04-20 05:52:22 status unpacked libitm1:amd64 8.3.0-6
2022-04-20 05:52:22 install libatomic1:amd64 <none> 8.3.0-6
2022-04-20 05:52:22 status half-installed libatomic1:amd64 8.3.0-6
2022-04-20 05:52:23 status unpacked libatomic1:amd64 8.3.0-6
2022-04-20 05:52:23 install libasan5:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed libasan5:amd64 8.3.0-6
2022-04-20 05:52:23 status unpacked libasan5:amd64 8.3.0-6
2022-04-20 05:52:23 install liblsan0:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed liblsan0:amd64 8.3.0-6
2022-04-20 05:52:23 status unpacked liblsan0:amd64 8.3.0-6
2022-04-20 05:52:23 install libtsan0:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed libtsan0:amd64 8.3.0-6
2022-04-20 05:52:23 status unpacked libtsan0:amd64 8.3.0-6
2022-04-20 05:52:23 install libubsan1:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed libubsan1:amd64 8.3.0-6
2022-04-20 05:52:23 status unpacked libubsan1:amd64 8.3.0-6
2022-04-20 05:52:23 install libmpx2:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed libmpx2:amd64 8.3.0-6
2022-04-20 05:52:23 status unpacked libmpx2:amd64 8.3.0-6
2022-04-20 05:52:23 install libquadmath0:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed libquadmath0:amd64 8.3.0-6
2022-04-20 05:52:23 status unpacked libquadmath0:amd64 8.3.0-6
2022-04-20 05:52:23 install libgcc-8-dev:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed libgcc-8-dev:amd64 8.3.0-6
2022-04-20 05:52:23 status unpacked libgcc-8-dev:amd64 8.3.0-6
2022-04-20 05:52:23 install gcc-8:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed gcc-8:amd64 8.3.0-6
2022-04-20 05:52:24 status unpacked gcc-8:amd64 8.3.0-6
2022-04-20 05:52:24 install gcc:amd64 <none> 4:8.3.0-1
2022-04-20 05:52:24 status half-installed gcc:amd64 4:8.3.0-1
